day,lpobs,mu,low,high
0,-12.300726549426505,-11.650797671510025,-12.724914182853237,-10.849594181095677
1,-11.759449296861261,-11.428538642078305,-11.976183048407021,-11.081317874073786
2,-12.268341293346236,-11.76864699684676,-12.421711918100614,-11.265469299461934
3,-12.711090738185526,-12.036927112941994,-12.8517226716575,-11.447490045078812
4,-12.939348780513555,-12.226701888881836,-12.985066671301178,-11.723430874568368
5,-13.127524038257707,-12.389881098032227,-13.131649767788861,-11.899335526517344
6,-12.661620838239571,-12.111162933656624,-12.802370957556729,-11.703180423228833
7,-12.953896526661916,-12.275923657346347,-12.959846696130764,-11.757536528386023
8,-12.481601682808806,-12.065387463181407,-12.614387733659349,-11.674036474052116
9,-12.410302454373008,-11.827893720044028,-12.524457106023048,-11.37080386657371
10,-11.786123143221035,-11.488049238581969,-11.95861891575123,-11.158290040083072
11,-12.872907835707323,-12.214920829156975,-12.862944771794453,-11.676063164089847
12,-12.879049889036276,-12.281288778591962,-12.917839848490235,-11.87731734566014
13,-12.509419733689478,-12.090575041905097,-12.59734226437558,-11.667135197017203
14,-12.42412063649952,-11.982091932469764,-12.509401255224159,-11.548734998380025
15,-12.305937437324179,-11.797871546483268,-12.356616661338261,-11.424998832434714
16,-11.112482622107724,-10.89370732026836,-11.283861567675183,-10.650810991008399
17,-12.798767615341877,-12.115623693006858,-12.939220418795886,-11.389107686909712
18,-12.958053968949988,-12.287417395033671,-13.037346829269975,-11.767619101814523
19,-13.23654214771524,-12.509321668257696,-13.25763621250847,-12.087333928163467
20,-13.061329959542176,-12.473094048308372,-13.213359659176682,-11.978416420799569
21,-13.417918589479873,-12.601045413468304,-13.427314858073231,-12.091979645760777
22,-12.829210143182749,-12.356281922092911,-13.018400410217124,-11.92121812278629
23,-13.847692131324932,-12.457354595741636,-13.411256711774652,-11.82809637005573
24,-12.734157468741804,-12.108810802503376,-12.915788559264959,-11.518574191873771
25,-12.320402708989924,-11.944110919343228,-12.580410911399735,-11.473993546667515
26,-13.20190280460734,-12.379710571198586,-13.196275583433767,-11.928696616297119
27,-13.817860793994672,-12.671394097966546,-13.552478546310073,-12.079954105459477
28,-13.455251197673832,-12.575239792908087,-13.463592340895424,-11.980296378979688
29,-12.2802675186698,-11.8701205882711,-12.648561292330939,-11.361198932925042
30,-14.270840490682668,-12.528793302851156,-13.440169528298762,-11.919106928823066
31,-12.805924770807875,-12.124294763696573,-12.901208806500282,-11.63894867522114
32,-12.556647270300399,-12.03791200276899,-12.702399080057257,-11.617793937217115
33,-12.299832634510347,-11.833361716584873,-12.480786366987498,-11.422671409493866
34,-12.541718520400382,-12.036263004850438,-12.671565657911216,-11.539438306625383
35,-12.574504778972432,-12.055576828358566,-12.75408859296399,-11.580451940080314
36,-12.711250685004806,-11.994596712053827,-12.777494897078109,-11.472798834808934
37,-12.312930289931277,-11.786166439904495,-12.442480635453464,-11.382781656444077
38,-11.667422458450364,-11.405384823972014,-11.90563305739724,-11.056101820676922
39,-12.659744527714208,-12.074084758317893,-12.669982729800047,-11.651344488947919
40,-12.131062100938301,-11.753501888395506,-12.27564505320005,-11.324781426146366
41,-12.849858065898495,-12.266162579330604,-12.936399137824838,-11.850579759997458
42,-13.284836118335429,-12.397159681205396,-13.104673833611395,-11.97198184022616
43,-12.4480901346798,-11.92206198587034,-12.544715543375249,-11.528551395125543
44,-11.520141509440533,-11.21777445677469,-11.714015442170476,-10.887067700752114
45,-11.808686984523513,-11.408467445670903,-11.920954147917037,-11.036634878576713
46,-12.018229874847405,-11.725046365837308,-12.123787352987007,-11.439630740453588
47,-12.463872663500034,-11.91532020147956,-12.576503236658269,-11.459113797724607
48,-13.029640008916761,-12.288639773533786,-13.015684858725587,-11.791914716431373
49,-12.961893043288562,-12.323941735089688,-12.985422714691323,-11.914558305295918
50,-12.787948070006836,-12.276966722616075,-12.962364342719894,-11.702416796717541
51,-13.129565628813001,-12.365934728293327,-13.206459540338182,-11.79440049185905
52,-13.895568034759515,-12.66116696668861,-13.518868638152604,-11.912273392593862
53,-12.416919906378544,-11.91397053994087,-12.626193494052341,-11.471196349216125
54,-12.68251288137878,-12.096444514923736,-12.770823427249779,-11.6476126925473
55,-12.450203819564607,-11.957143059591841,-12.584678869485417,-11.492981890788084
56,-12.500863143156742,-12.000579972888485,-12.664930455802407,-11.576407079079685
