day,lpobs,mu,low,high
1,-14.50298643705261,-14.263727663737184,-14.624325111253277,-13.828236903604578
2,-14.217496286712914,-13.971134574147513,-14.253220195010245,-13.657990486490508
3,-15.015640989822732,-13.967459092145315,-14.206790277574711,-13.709305291257994
5,-13.131656660765893,-13.42095774199568,-13.619397982991671,-13.22054083471924
6,-13.174907966373956,-13.481658683165625,-13.668737938741685,-13.28786152937721
7,-14.660434817875062,-14.061715643172597,-14.290281514667921,-13.82269621802282
8,-13.930338565154845,-14.166914909336827,-14.416869481444335,-13.901551192224488
9,-15.051749757826457,-14.423660299531537,-14.67756061597866,-14.146980011888898
10,-14.496328545420573,-14.388231390471466,-14.668383515553074,-14.102102567036532
11,-14.053756492025194,-14.24284996144456,-14.477618233800978,-14.000072947764014
12,-13.840386373284195,-14.215489054212721,-14.449603098405902,-13.978433747378398
13,-14.763922437535127,-14.549050986841147,-14.787381413828422,-14.275006569408276
14,-15.421565354108568,-14.723859905471578,-14.986863150059353,-14.442601056161363
15,-14.609867074947552,-14.56258883009441,-14.835836659093614,-14.296599829554127
16,-14.313256717240922,-14.358382332886876,-14.617250529765354,-14.095927782976348
17,-14.304287792597643,-14.131029771643872,-14.363748935226774,-13.888634104871521
18,-13.411288248690184,-13.776401847120065,-13.99991715428542,-13.54735257912509
21,-13.979152906190857,-13.928494038591271,-14.159581136691378,-13.684225902735186
22,-13.929213949845714,-13.983786700650061,-14.212541649715092,-13.73943266178884
23,-13.849757061248418,-14.030580186956612,-14.27381181616096,-13.763429759056734
24,-14.933968283469738,-14.164035157901022,-14.41119742890186,-13.897566591112284
25,-13.658158960662337,-13.977146962250703,-14.202139717823346,-13.750158837333862
27,-14.10879366529359,-14.075065682993685,-14.314009689972558,-13.841721175982999
30,-14.978892903463498,-14.107900631804949,-14.350179324346794,-13.845304332267759
32,-13.587486114451785,-13.73015642473328,-13.937346827194435,-13.507420466718882
33,-12.994558793358868,-13.470595422442809,-13.672104227154884,-13.260242135827136
34,-14.489071167886118,-14.027522029737863,-14.259510291337017,-13.779094633723165
35,-15.140938846245778,-14.210854468394748,-14.476314515950051,-13.951623735775893
36,-13.301103863143805,-13.966055830590337,-14.217367157656575,-13.700085783109685
37,-14.800073955372657,-14.290525946954372,-14.547023430207414,-14.01030359730466
39,-15.300635485957187,-14.43732202046675,-14.68247444865377,-14.173042107495533
