day,lpobs,mu,low,high
0,-12.301788803520262,-12.348104288583839,-12.665686763388551,-12.033855709883552
1,-11.762146413127407,-11.83865210249026,-11.950771148856028,-11.719995353157271
2,-12.2715861376576,-12.277175010027298,-12.448248077846904,-12.09443931053363
3,-12.713055896828687,-12.698601880315207,-12.861034067083676,-12.543501441868015
4,-12.943304999736313,-12.921691414753521,-13.071794814714798,-12.777377527416801
5,-13.131656660765893,-13.002267261381844,-13.150975090328622,-12.840090245146722
6,-12.664082342607966,-12.751819012903345,-12.904517282399398,-12.58739307775062
7,-12.955686725636637,-12.865359391685264,-13.022820030101625,-12.701703180277931
8,-12.48341958221852,-12.53963932515002,-12.674740630219526,-12.383052647202563
9,-12.412692428211198,-12.38942326035546,-12.540030043334689,-12.22750287773994
10,-11.788278344318362,-11.92087413015788,-12.041339298814812,-11.79026109528473
11,-12.875101495683548,-12.78982366795962,-12.943113411181397,-12.628557736063414
12,-12.88487492825676,-12.832498282184687,-12.96749060775911,-12.69220267987381
13,-12.51263063892863,-12.579041269355471,-12.702256974804394,-12.445540167490643
14,-12.425833080554577,-12.430020850313596,-12.562502399405107,-12.302469700384705
15,-12.307281981953505,-12.248544848773468,-12.384427004603104,-12.10747352551071
16,-11.11458359969024,-11.199749325478475,-11.308181856382518,-11.089134007113419
17,-12.800210395821368,-12.808429573094557,-12.98064746635528,-12.636370542563217
18,-12.959303124947127,-12.9532435438578,-13.120711218495119,-12.792757377146291
19,-13.23763949558953,-13.127350760511796,-13.301812109889726,-12.940631275000161
20,-13.062688741708156,-13.133350535845285,-13.292140574776484,-12.966044804772034
21,-13.419537118255434,-13.249831694753878,-13.449804220511593,-13.05406423621661
22,-12.830601661177605,-13.014946261020382,-13.1770639927094,-12.83834045633556
23,-13.849757061248418,-13.246264859643157,-13.430468359601473,-13.041156085673315
24,-12.736743706133518,-12.80308550244181,-13.001248263308565,-12.615736950643218
25,-12.323157893929997,-12.503215744015442,-12.654202258603004,-12.337927152774919
26,-13.203663371285288,-13.07825641148989,-13.254934333889784,-12.888081923819374
27,-13.821111592841808,-13.443076092529157,-13.650348453123826,-13.234301382968265
28,-13.457468394091892,-13.333270244437614,-13.570061348402103,-13.091721416837196
29,-12.282193441784113,-12.621057527602087,-12.845653964822361,-12.403238438081143
30,-14.285745722903552,-13.228333960378906,-13.41039192806876,-13.032780517298962
31,-12.808079253877581,-12.861512239296975,-13.048701382478292,-12.681972475344573
32,-12.557866697270628,-12.599619391178285,-12.754762768661264,-12.433879203306173
33,-12.301411612798924,-12.41814222166914,-12.568282423472688,-12.265316445373555
34,-12.543161018830805,-12.548305218263453,-12.684514531858477,-12.399767255385362
35,-12.575989488784241,-12.618344012093557,-12.788089269004042,-12.439328602735653
36,-12.713317198241686,-12.670493017357332,-12.837953202564243,-12.474322364450723
37,-12.315167305584657,-12.308874070981354,-12.464188412854313,-12.129520520397595
38,-11.669276469559275,-11.822358444454611,-11.969050499811878,-11.688877105771349
39,-12.661578156341928,-12.560124501931805,-12.727383003552662,-12.39350864796373
40,-12.132504043559715,-12.257996560179201,-12.367479707144952,-12.143097890643435
41,-12.851455318447465,-12.80518380900421,-12.953428099162672,-12.648742257686084
42,-13.286412123635541,-12.999860833668878,-13.149058509969098,-12.837846503078078
43,-12.449298831071065,-12.407621976226554,-12.544446584580596,-12.244515275625455
44,-11.521687678693382,-11.67377105252396,-11.775265174675429,-11.558483202399895
45,-11.810833120962217,-11.82822267665139,-11.957689817894288,-11.686675182189393
46,-12.01968648226101,-12.050071202827484,-12.17391456014536,-11.930678512046796
47,-12.466256933765232,-12.489446873393236,-12.638972918572774,-12.319444316079673
48,-13.032791124168408,-12.930965058002235,-13.091989254212999,-12.759569829173506
49,-12.964492239794467,-12.960192622830633,-13.110175152333003,-12.807231261039737
50,-12.791719415652127,-12.904073985414838,-13.059466997838085,-12.73358264148525
51,-13.148502747813769,-13.149328976129532,-13.329951537074875,-12.955039576381225
52,-13.896959660815705,-13.364701411747317,-13.637233297154612,-13.084143450163488
53,-12.418470164504736,-12.55575067011651,-12.707483714367243,-12.393191261727079
54,-12.684168666088508,-12.634429595847594,-12.777904726444257,-12.491173501537126
55,-12.451617520726327,-12.512223186450772,-12.65689315703315,-12.366437146584667
56,-12.502014186345374,-12.588148061164313,-12.726851159205431,-12.44710842632397
57,-13.236203666513664,-12.988979709953416,-13.161332899388006,-12.829494855445322
58,-12.805807438089204,-12.799719823990078,-12.966907903633809,-12.62387528106235
59,-12.41337640712497,-12.574630679342699,-12.75910813780195,-12.397728609258616
60,-12.902203098975841,-12.866164174986602,-13.021047598988591,-12.694885697153982
61,-13.23394723781789,-13.053353816004279,-13.20936609897718,-12.886546564848068
62,-12.643022208710414,-12.705548335795143,-12.867077524071039,-12.540533489437932
63,-12.568208060176078,-12.564754491050024,-12.704779921095543,-12.422207446463002
64,-12.133965071245838,-12.202441961966084,-12.302991885703602,-12.079055588652512
65,-12.295827422620802,-12.39178299407576,-12.543110968894656,-12.224597318029232
66,-13.432092908572969,-13.011143672012471,-13.181094339968869,-12.830714408709444
67,-12.783652483011478,-12.88916276534417,-13.051422001659002,-12.730221725022487
68,-13.265632423564831,-13.134250237135776,-13.280741873045093,-12.984244190317522
69,-13.081689913519519,-13.080220108605161,-13.248646192526124,-12.902036350772486
70,-13.103357300777413,-13.046712167888352,-13.215287920544073,-12.86975216881873
71,-12.488476843887312,-12.641739307695893,-12.797667163713216,-12.47927249290059
72,-13.188709950530356,-12.947077630690222,-13.113360775744148,-12.768980132144696
73,-12.804233093970952,-12.801721515811302,-12.961552202640025,-12.631083634390725
