day,lpobs,mu,low,high
0,-10.761343762573114,-10.648426690865954,-10.809985759177815,-10.46625783144113
1,-9.933443428707669,-9.937456916265479,-9.981710906456547,-9.888887108479874
2,-10.058613203353241,-10.030196796929813,-10.088783159532587,-9.967884221902743
3,-8.69487269557215,-8.693548938348169,-8.721677195020497,-8.664824352861718
4,-8.146012952355974,-8.15028839946864,-8.168051391235725,-8.133105089364689
5,-8.246584589644984,-8.248894897088569,-8.267674991855388,-8.229398217118554
6,-8.433848059693215,-8.437287017883365,-8.457533415652957,-8.417059733223965
7,-8.91104183196681,-8.909844012986463,-8.934890436135241,-8.883897274116103
8,-9.252847717587128,-9.243459405163962,-9.27447300627132,-9.210489238156795
9,-8.964975030914148,-8.964353860987945,-8.996217417868248,-8.930746661174672
10,-8.493676808922025,-8.499183525023232,-8.52231787921516,-8.474649999933526
11,-8.489236084702501,-8.494440496088513,-8.51383812368461,-8.473905235312362
12,-9.07309733781967,-9.060295568617601,-9.086622848929837,-9.032425609408495
13,-8.666972382581168,-8.673273050316388,-8.695590686434347,-8.651253026927053
14,-8.892146515846342,-8.88875069241267,-8.912474964415468,-8.86450132717126
15,-8.879767291973977,-8.878909230871834,-8.905285726864216,-8.852947833621663
16,-8.726008058840671,-8.736153482349728,-8.764787258853808,-8.706444114896335
17,-9.195316597780526,-9.175092867289218,-9.211233702560593,-9.137810264946818
18,-8.71732256391896,-8.717983400348517,-8.743486988527055,-8.693008884514452
19,-8.16090439978875,-8.168296510431803,-8.186100792390839,-8.149809778322407
20,-8.80849547854416,-8.802880247487545,-8.828344100460669,-8.776812174954244
21,-8.90397909095703,-8.894518036400376,-8.919968903576741,-8.868070053492751
22,-8.217959460350812,-8.219104588317114,-8.238614539150007,-8.198997916221026
23,-7.669740407595846,-7.669189013408127,-7.686618907096208,-7.652780828639781
24,-7.0164319295261075,-7.020943376581495,-7.03376100882265,-7.007836431592569
25,-8.037758094945186,-8.029097420848014,-8.047003975898754,-8.011108976458708
26,-7.400789993984856,-7.405014253540747,-7.4174705389658735,-7.392641112932148
27,-8.0797122546143,-8.080507631210159,-8.09907468686607,-8.062185664938749
28,-8.924868900938636,-8.90644991167397,-8.936163919950385,-8.877259908067987
29,-8.57473760209724,-8.581418036739878,-8.610750503463423,-8.55096871007929
30,-8.615864799923033,-8.615379230307525,-8.643011679925909,-8.587142356142126
31,-8.659009791966234,-8.656635384648418,-8.685712482407364,-8.627607828043537
32,-8.283186676226201,-8.288045770734277,-8.309181173598384,-8.265981677324051
33,-8.403938388385509,-8.405066801437634,-8.428786792183022,-8.38119871369115
34,-8.44525139044421,-8.449702809308237,-8.473344576344095,-8.427659863016988
35,-8.871842562539516,-8.856889837961626,-8.886471432841088,-8.82752322078549
36,-8.161782228086226,-8.163289926065872,-8.187267775591813,-8.139580922744948
37,-7.660413619407738,-7.663677455791127,-7.682167378524723,-7.646581809430837
38,-7.608833459012856,-7.609694130261552,-7.627172362906693,-7.592514290658631
39,-7.700733526748688,-7.7025052546694495,-7.717500982335192,-7.687498992433823
40,-8.197053905236428,-8.197561440197166,-8.215865428843003,-8.179824117491432
41,-8.688972951058147,-8.680734283135735,-8.705029234929494,-8.656220267052737
42,-8.304519298404939,-8.303830443327719,-8.323218488760377,-8.283838369060115
43,-7.802648043962255,-7.8066563897590555,-7.822968151487256,-7.790323651543863
44,-7.950144931283988,-7.947416819462788,-7.969124473223597,-7.925889237370286
45,-7.678801909063194,-7.68488178154926,-7.70349155168727,-7.666089089311511
46,-8.59612207045196,-8.583794731843206,-8.60628067108918,-8.56034817774255
47,-7.787945629430582,-7.793431203458729,-7.808191351037812,-7.778341925955859
48,-8.268909247025496,-8.26700842897473,-8.28621542757407,-8.248272117107163
49,-8.40774864771185,-8.404611064937201,-8.424354079474874,-8.384495918937926
50,-8.218595739069317,-8.221377003956995,-8.239177350096874,-8.202790812326565
51,-8.193556359578102,-8.18719411703333,-8.207609164642445,-8.16655919223104
52,-7.348263117127576,-7.352342465169943,-7.3667134945389074,-7.337324699746284
53,-7.5169059654628425,-7.518206262479712,-7.532167282441271,-7.5042340819010915
54,-8.002699033431027,-8.003042320675052,-8.020677298768335,-7.984636584538464
55,-8.424167193334256,-8.42461531092763,-8.44545969453269,-8.403443060117127
56,-8.91330043101216,-8.900646505863984,-8.930876905413825,-8.87204315229784
57,-8.318310424116023,-8.319688902643817,-8.341148153376842,-8.296595649047685
58,-7.8740349924186726,-7.875347513072083,-7.896163413045532,-7.854128270968448
59,-7.480702654498425,-7.483516886168497,-7.49910892965681,-7.467390253122131
60,-7.850018801966714,-7.846905612236423,-7.863078883890699,-7.8301744770529105
