day,lpobs,mu,low,high
0,-7.867011603460852,-7.864313107011918,-7.903674378583665,-7.823668436187072
1,-7.986793361009645,-7.97871205435441,-7.996408028680786,-7.961159643030968
2,-7.446706862803934,-7.45610710728916,-7.471764290579911,-7.440225580471718
3,-7.762170607138205,-7.762922818928998,-7.780448605610144,-7.744322854006354
4,-8.073674844706511,-8.065687717358946,-8.083185598211848,-8.04825811327212
5,-7.872080122534287,-7.874036871268278,-7.888229797135535,-7.8594939893905895
6,-7.75093738090033,-7.7535500211954576,-7.767781392533321,-7.739907153837905
7,-7.881081253697449,-7.882838696390865,-7.898725044802301,-7.866459096318442
8,-8.158897442024829,-8.151897467931128,-8.169974439815721,-8.133494841350132
9,-8.035140073932237,-8.04043165536658,-8.059551830911545,-8.020582419633522
10,-8.149815376118442,-8.145383815683488,-8.165397619143292,-8.124457064176722
11,-7.9192744380822875,-7.916278442751109,-7.931837377324818,-7.901089421244982
12,-7.297338209938055,-7.299642755808846,-7.310181866216672,-7.289460915304741
13,-7.124761265875954,-7.126099750486559,-7.136361075667006,-7.1156398923650475
14,-7.104531877616164,-7.103123311107422,-7.112837238224921,-7.093316626911099
15,-6.807657758700434,-6.809393012044873,-6.818959842324446,-6.799914008970834
16,-6.78734723674027,-6.788383820059258,-6.799199294553347,-6.778051794745445
17,-7.064713945675639,-7.064667942757913,-7.078183728497989,-7.050655966343183
18,-7.264958991021286,-7.261279045747719,-7.2730052622148404,-7.24965526387642
19,-6.886317573851516,-6.888947700322478,-6.898543953443433,-6.879338853081736
20,-6.980926556619393,-6.983329112658885,-6.9934840368891775,-6.973698236249092
21,-7.705332948136819,-7.705253820530064,-7.7195443863361275,-7.690428392229121
22,-8.26451886389756,-8.244743093752398,-8.263344701766393,-8.224869517735787
23,-7.606237619331807,-7.610498605663429,-7.6267220170505095,-7.593422950531004
24,-7.289527521913173,-7.294120596133034,-7.308650284880688,-7.279697597065332
25,-7.462529828837948,-7.459563103321581,-7.473065475356734,-7.446611070633088
26,-7.143372633247453,-7.147445654047799,-7.158685803624982,-7.136709169169583
27,-7.508016547704962,-7.506757755738285,-7.520204668176918,-7.492500730650466
28,-8.508708503713724,-8.509455175148897,-8.533736051282277,-8.484663794500612
29,-8.84284429415758,-8.800459053673292,-8.836313313657548,-8.763963074639587
30,-8.079169796178626,-8.088837449712592,-8.110572391327786,-8.066421243997116
31,-8.040577655972037,-8.03264481887029,-8.053392687392599,-8.01111163959897
32,-7.578181649215472,-7.58255826440578,-7.595831144812932,-7.568192902538263
33,-7.528375705801609,-7.532335416641837,-7.546885785484913,-7.51789585349953
34,-7.96771393429492,-7.964016924184211,-7.980970061724184,-7.947582210891882
35,-8.12702337143525,-8.122797753553913,-8.142451743387756,-8.102994009105513
36,-8.04048836377978,-8.029755048571698,-8.049643150838468,-8.010505537823995
37,-7.314021337509517,-7.3233734763428275,-7.339544472731509,-7.308651368661281
38,-7.384099660875312,-7.38455052543784,-7.400202948520168,-7.368451468249884
39,-7.604877495402426,-7.603530885169545,-7.618271506673591,-7.588324111569003
40,-7.655588193095302,-7.655307497551403,-7.669518149746086,-7.642023537009195
41,-7.672268048281013,-7.675833677754483,-7.689432460580867,-7.662371624803313
42,-8.078293025005653,-8.071458729347732,-8.088868946068203,-8.05355479190938
43,-7.935857011950742,-7.929910228131757,-7.94669923513259,-7.913018973435701
44,-7.22537456229353,-7.231229721104553,-7.2446097485040255,-7.217510216475099
45,-7.244674974249141,-7.248389277755409,-7.261741733508739,-7.234488447800971
46,-8.072572157021595,-8.06626791822939,-8.085216506956272,-8.047355088143018
47,-8.111813113706491,-8.111337737629142,-8.129303104347969,-8.093404401367478
48,-7.991949988015087,-7.988442069376862,-8.005320262546945,-7.97240012636507
49,-7.631334368585711,-7.632213364557879,-7.646526446526598,-7.618508962484317
50,-7.245340769826931,-7.251385682180953,-7.262773397760613,-7.239674083840338
51,-7.925447865766279,-7.913157554346677,-7.930241403003082,-7.896011822734492
52,-7.58160165929337,-7.582393104226972,-7.598538152584039,-7.566397188855005
