word,mu,scale,A,B,C,theta,jump,maxRhat,medianRhat,lastRhats,divergent,total.freq,median.daily.p,mean.daily.p,sd.daily.p,freq.acorr,lpcor
aa/jj,-14.61000443,0.379376324,2.104420494,0.905564877,-0.03449629,2.242211941,3.476665491,1.079903302,1.000684156,1.021803192,285,9.081711229,-13.88613692,-13.58231673,1.322435435,0.798635909,0.855986988
aa/nn,-14.04450565,0.470184127,1.90217716,0.943232456,-0.127451089,1.985182654,3.2838324,1.908574836,1.002541873,1.020822451,0,10.12426831,-13.65005948,-13.18166773,1.618086157,0.84018029,0.92284533
aaron/nnp,-10.45669496,0.327835351,0.589638346,0.592903932,-0.09392611,2.95688195,2.482892449,1.013162187,1.001242068,1.013162187,0,11.71275126,-10.16494756,-10.15254173,0.471316751,0.402582287,0.930724214
abadi/nnp,-12.47782501,0.985551937,-0.751513494,0.709013773,-0.167525542,1.377529681,1.145073133,2.248716505,1.000646856,1.00529485,192,9.584933816,-12.77794939,-12.8113296,1.318187914,0.477816027,0.977615513
abandon/vb,-11.64645561,0.263233493,0.201187948,0.556228452,0.055274497,2.42217588,1.966429626,1.004933645,1.000099528,1.004933645,0,10.299811,-11.58290086,-11.55889196,0.400817413,0.418133671,0.965918705
abbas/nnp,-12.67127476,0.875005757,1.333745236,0.637023795,-0.132431711,1.608268255,1.253209943,1.046023176,1.001998379,1.037323223,0,10.38313206,-12.02467908,-12.036023,1.221925781,0.464722499,0.939965948
abbey/nnp,-12.98812206,0.780734215,0.101165928,0.83455524,-0.160566641,0.85750534,1.101636956,1.407096313,1.000139299,1.010325043,128,9.586925781,-12.96724057,-12.90537296,1.156509189,0.649586129,0.982458788
abbott/nnp,-11.8419808,0.693598301,-0.06637559,0.779285538,-0.092717911,0.405410039,1.554570428,1.044521339,1.002596425,1.039481973,0,10.50182943,-11.86039605,-11.87379867,1.121382597,0.50583539,0.992498394
abby/nnp,-13.01193602,0.712532203,0.306243853,0.706168474,-0.022004663,0.653447305,1.468778377,1.635120594,1.000560241,1.013393539,26,9.48128312,-12.96942345,-12.91173833,1.099345719,0.407435079,0.980971494
abdel/nnp,-12.33629043,0.782451881,-0.476101003,0.556063656,-0.02832603,3.103487267,1.017707353,1.013684851,1.000531945,1.009622406,0,9.624368711,-12.56869501,-12.61250503,1.030116735,0.416343654,0.973007534
abdeslam/nnp,-12.89819911,0.599960219,-0.811203931,0.921007173,-0.124092133,0.428870448,3.212149924,1.039149801,1.000218209,1.039149801,0,9.752083098,-13.3482013,-12.84714428,1.893915815,0.766565168,0.987378602
abdomen/nns,-13.18351953,0.493148176,0.20034067,0.746837231,-0.04324772,0.178589997,1.653167854,1.029896675,1.001309104,1.028169123,0,8.971067439,-13.1093186,-13.1493537,0.918607328,0.359232795,0.966600739
abdominal/jj,-12.84138487,0.57586729,0.117672224,0.53955985,-0.019431702,3.395754138,1.02677283,1.002784824,0.999938255,1.00271919,2,9.227590725,-12.75385984,-12.84285348,0.819122346,0.388070664,0.96342159
abducted/vbn,-12.40177577,0.707822582,-0.702159315,0.60592412,-0.000227201,0.858838638,1.368974072,1.441238539,1.000848605,1.042152035,89,9.499571244,-12.69930016,-12.79521469,1.066786218,0.374980403,0.962479332
abduction/nn,-12.48587274,0.744301458,-0.656989164,0.53678173,-0.004577458,2.233723423,1.536338318,1.003686185,1.000111744,1.003524583,0,9.461410326,-12.84002334,-12.84766371,1.050090352,0.404414469,0.965010228
abdullah/nnp,-11.87658758,0.627835229,-0.086734039,0.571332294,-0.094386511,2.230870376,1.327544889,1.02502183,1.000524707,1.02502183,0,10.14392077,-11.93556676,-11.9402352,0.824293924,0.445609331,0.988155004
abdul/nnp,-11.77284644,0.586758596,-0.363784641,0.499810914,-0.013018989,2.009352295,1.25098631,1.017713885,1.00038605,1.017713885,0,10.07483242,-11.94599666,-11.98253978,0.761656662,0.289398621,0.97490449
abedin/nnp,-13.73643201,1.091672669,-0.320641403,0.8364556,-0.235807435,1.371285501,0.135619126,2.315227753,1.001755873,1.07068802,154,9.478610241,-13.6351882,-13.36184727,1.453853569,0.537136542,0.98347741
abel/nnp,-13.70635803,0.5231121,0.593435718,0.885405411,-0.018810666,-0.24720843,1.866836672,1.218593427,1.004106329,1.070863483,30,8.814033202,-13.54475876,-13.45027365,1.074153893,0.471562788,0.96788839
abe/nnp,-11.59592029,0.844854113,0.230602354,0.746620334,-0.035062814,1.370094727,1.332188618,1.014366705,1.003922661,1.011127915,0,11.12835063,-11.48385,-11.4545293,1.250297844,0.662076649,0.993568626
aberdeen/nnp,-13.1549729,0.629562542,-0.347072988,0.722276433,-0.124751799,0.613382866,1.222408939,1.085378891,1.0031468,1.085378891,0,8.825412915,-13.38402791,-13.38863139,0.9420935,0.240081706,0.96445851
abide/rb,-13.35377348,0.131819787,1.691473606,0.992962727,-0.568200569,3.798440682,6.350387069,1.446820334,1.0799183,1.065542117,124,9.534450801,-12.11331231,-12.60153728,1.14999727,0.750680752,0.867486529
abide/vb,-12.32898889,0.397608103,-0.258585948,0.700003902,-0.00549365,1.734416689,0.898778995,1.008032045,1.000038102,1.008032045,0,9.475546748,-12.46926862,-12.5128733,0.630483163,0.461589914,0.936496425
abiding/vbg,-12.70808298,0.4986319,-0.061942694,0.658662721,-0.13588989,3.048371019,1.30064937,1.009178769,1.000201176,1.009178769,1,9.257128533,-12.75897068,-12.78698171,0.747676465,0.424035535,0.950543868
abigail/nnp,-13.2760578,0.685313861,0.217876398,0.581068971,0.046148332,0.880211379,1.589313567,3.041372332,1.001140885,1.056240241,0,9.076923259,-13.25476115,-13.21604227,1.044316847,0.294780542,0.978868727
ability/nn,-8.913071504,0.131267605,0.001426419,0.554345308,0.320578226,1.3144085,0.564645372,1.003149394,0.999972378,1.003149394,0,12.88176843,-8.907476978,-8.929928114,0.170527749,0.473518803,0.99376249
able/jj,-7.912622308,0.07050064,-0.112916607,0.76408097,-0.085025131,5.052358086,3.330832486,1.023570643,1.001925219,1.023222818,0,13.82584497,-7.969310322,-7.970540364,0.11884913,0.696535679,0.953642082
ab/nn,-14.07979101,0.301343524,3.788035878,0.947416146,-0.04483386,2.428468602,4.63207206,2.771863891,1.013656655,1.037981726,144,10.71654883,-12.65204228,-12.32768271,1.830417035,0.858039148,0.792487802
abnormal/jj,-12.65813057,0.435128977,0.251940034,0.44935699,0.024911021,2.732869391,1.125109703,1.018655827,1.000953736,1.018655827,43,9.38353709,-12.5288883,-12.5942453,0.651856102,0.296081409,0.947427686
aboard/in,-11.09227175,0.402264922,0.055918842,0.595699702,-0.025968854,1.960332638,0.312288202,1.004807055,1.000301712,1.002833134,1,10.82772661,-11.07538057,-11.05490638,0.474630137,0.436600435,0.993086554
aboard/rb,-12.65331924,0.450673118,-0.005513728,0.444599455,-0.008039799,2.191511085,2.419810765,3.305748406,1.000051879,1.012617365,26,9.341280911,-12.67849069,-12.68322482,0.701360632,0.295373882,0.96758211
abolish/vb,-12.91554691,0.410918998,-0.410179707,0.647145011,0.028200176,1.365216385,2.053503629,2.094517355,1.000146675,1.01097506,64,8.911799556,-13.15814104,-13.18401648,0.798797089,0.453815772,0.928897243
abortion/nn,-9.995391134,0.74215421,-0.976628132,0.624179724,-0.101599789,3.947506517,1.086140385,1.065962131,1.009775058,1.052300409,1,11.84646483,-10.45972871,-10.48198264,0.99612407,0.578288729,0.955223082
abortion/nnp,-13.12592911,0.74322139,-0.613743296,0.609833394,-0.027476128,1.970497738,1.331028751,1.530110708,1.000084543,1.020634425,88,8.804625233,-13.45439131,-13.44133915,1.06183043,0.463543121,0.963483444
about/in,-5.966079954,0.054553204,-0.033760506,0.678802647,0.141398526,4.588574021,4.198031064,1.131002979,1.017155532,1.131002979,0,15.80843419,-5.972908013,-5.985924179,0.088452954,0.705386995,0.992893862
about/nnp,-13.00246924,0.575135439,-0.041662666,0.86764878,-0.288264014,-0.393083387,0.23562713,1.026500722,1.000121365,1.026500722,0,8.886409167,-13.03774695,-13.0812379,0.605377686,0.176799121,0.904431729
about/rb,-8.70805132,0.083252578,-0.168102782,0.682358412,-0.093685384,2.440540086,2.293298735,1.854208593,1.011759759,1.854208593,0,13.00074023,-8.785539975,-8.798834079,0.132872633,0.542815139,0.917378155
about/rp,-11.96863846,0.256451277,-0.107520373,0.368750513,-0.058438814,3.645396025,2.874154961,1.001604294,0.999881126,1.001604294,0,9.818691901,-12.03757016,-12.04562223,0.388521707,0.197704137,0.942839745
above/in,-8.886445559,0.110454873,0.107760732,0.571832607,0.042808071,1.954387324,1.661797255,4.602639443,1.038935811,4.602639443,0,12.970533,-8.834090189,-8.828184523,0.14729051,0.509523461,0.971802064
above/jj,-11.39899142,0.235791561,-0.130642896,0.949396146,-0.141088863,-0.38065479,0.63478571,1.006860581,1.000019107,1.006860581,0,10.37492765,-11.467965,-11.46700889,0.29941135,0.345728076,0.941358757
above/nn,-12.13485056,0.112984215,0.154987428,0.706651581,-0.194370581,0.326041559,2.749994291,1.089023727,1.00275841,1.089023727,0,9.74957851,-12.06725127,-12.09158451,0.339837678,0.161786269,0.929659387
above/nnp,-13.23072091,0.472662117,0.774253889,0.817226508,-0.229956914,0.704326725,1.354206837,3.026260805,1.005475586,1.594907715,802,9.064852065,-12.87557434,-12.91809788,0.681102958,0.405232858,0.888409708
above/rb,-12.56953123,0.208286174,0.244709892,0.461043706,-0.115084634,1.968240065,2.010825845,1.070082853,1.00163125,1.070082853,0,9.368198457,-12.46896415,-12.50199373,0.416551538,0.158675167,0.903993845
