"","word","mu","alpha","drift","A","B","C","resamplestdev","theta","maxRhat","medianRhat","total.freq","median.daily.p","mean.daily.p","sd.daily.p","freq.acorr","lpcor"
"cor","cosmos",-10.3722458998357,2.263482747292,0.822926665435307,-1.61822458827319,0.624675992385267,-0.0980772804879097,1.48428601431848,0.00528753252659506,1.26382873206406,1.03127050293648,9.08907628448314,-13.1749389867745,-13.1631635298636,NA,0.396859400318338,0.948268539892917
"cor1","darroch",-10.8652496981393,0.629524680389856,0.828231746063054,-1.63479783185871,0.599899392489436,-0.205578877614738,0.339152136870041,0.00836421285937838,1.91929823452684,1.01304294018837,6.46614472423762,-14.5591559669306,-14.3336948839738,NA,0.0450756596824474,0.96594258752525
"cor2","bucs",-9.43634362287653,1.41199741728562,1.17940773238031,-1.4634760754336,0.770199071962891,-0.254135214952417,1.65450975518286,0.0032552751354808,1.37753338152143,1.02901678317261,10.0603630879986,-12.5837772539938,-12.5789757293123,NA,0.418751906692589,0.986620788955112
"cor3","downward",-10.6540235476519,0.637940720278844,0.350340264391588,-0.680427576018382,0.564107607951147,-0.140887792859992,1.09057253797386,0.00211079072923039,3.57065444850495,1.39058126833528,10.0439883523237,-11.9640197678077,-11.9762850582038,NA,0.360615737010585,0.955907773032564
"cor4","budget",-6.70962434930173,1.84625596522847,0.459875031010499,-1.08597491004005,0.709053750431789,-0.150911528520361,1.9315341862599,0.00363131806895415,1.90371517710654,1.2441462309758,12.7205625476208,-9.40386758360765,-9.33615746729207,NA,0.692616204118147,0.999409464200933
"cor5","boomed",-12.0128645027268,0.735322515220849,0.244875885935197,-1.04351187643551,0.535502742554416,0.194348444146142,1.02333643850493,0.0114694727281552,1.3552845448084,1.11285079065932,7.78447323573647,-14.1500906484627,-14.1905357741907,NA,0.196918973507772,0.680591497191918
"cor6","cylinders",-9.82408269247249,2.52323814594905,0.657862788634502,-2.60246349734389,0.411028980060132,-0.0244946132819386,1.48467756800394,0.00938468088786865,1.3639419561227,1.04468229609647,8.7227428743294,-13.4615100345726,-13.4772409251654,NA,0.419958402990371,0.900236595790733
"cor7","cocksure",-13.3472535028508,0.359586659538936,0.125435217301087,-0.92163447724194,0.297598843735212,0.348769712259133,0.371203030735954,0.0035667333813289,4.27426047760815,2.68873988071141,5.99146454710798,-14.9986594416515,-14.8491620609678,NA,0.416413028735974,0.612666681178166
"cor8","captioning",-11.9583917706095,1.62919382492504,0.531009076361562,-1.6468980089779,0.373470190563282,-0.10548177892445,0.945980807478569,0.00686596682327651,1.29616270282516,1.0271343019816,7.77401507725073,-14.1795798958633,-14.1892965142599,NA,0.111296858584425,0.881039827064278
"cor9","conforming",-11.042093286187,2.8528373605375,0.775680787573084,-2.45445976823036,0.401999286883779,-0.154718509666596,1.43412596554715,0.00789706691565959,1.13221439703158,1.0129778242019,7.73543335249969,-14.3173566592726,-14.2465563810705,NA,0.114208948405419,0.90727985069454
"cor10","adverts",-10.4460407492259,2.77413082981279,1.03746023862249,-2.50004246795264,0.491714369756312,-0.208763243632511,1.58143412206819,0.0026101081244123,1.07868487207548,1.00968906004324,8.25218543600333,-13.9371396616703,-13.9153997331449,NA,0.17485053093044,0.945745008188841
"cor11","awh",-13.8061654865668,-0.0470140058586926,0.175096349043213,-0.912425314211625,-0.29605849401097,0.130039419175984,0.696374620138364,0.00222972438370157,2.54493357043766,1.61531822659573,6.10255859461357,-14.772775080837,-14.6859007952163,NA,-0.0542676243155263,0.913668969185791
"cor12","demurred",-12.1086261908526,1.62820212855061,0.442260399963516,-1.07746526440498,0.560120209681092,0.00851133166223486,0.856642499610596,0.00536284367678675,1.46687207253146,1.09096710466665,7.9672801789422,-14.0383702007526,-14.0682952929441,NA,0.26464333576392,0.834776914114016
"cor13","aeb",-8.71704771816722,0.919007528276262,0.84900036032612,-1.82266395673442,0.718388802876737,-0.234362974017995,0.994573057906358,0.00437578738781879,2.40954511235199,1.00866939398434,8.12946976478423,-14.014207511424,-13.9201002841806,NA,0.0915103759276697,0.964315232516216
"cor14","bgu",-12.3853063334625,0.555787850789579,0.344104216420001,-1.50795143902583,0.365786137428178,0.125772293933374,0.480308491969773,0.0102899202829228,2.07828049248698,1.07074405486059,6.22059017009974,-14.7960409123352,-14.6783668472508,NA,0.273170540646545,0.806308162952784
"cor15","bared",-12.63868777659,0.543005512863198,0.140003015084713,-0.908185102129448,0.529677057984861,0.0683674884459348,0.248580803558958,0.00934384237069992,5.11105872318884,1.41109599885518,7.08086789669078,-14.6491864518878,-14.5725333492758,NA,0.207614039791993,0.546196153182398
"cor16","bookending",-13.9798432466185,0.0537537248535528,0.103549619291455,-0.76181206272482,0.177476407651734,-0.0337275006369829,0.875479737170173,0.00273822687381131,5.01760442126533,3.27046819976339,5.51745289646471,-15.0752946700926,-14.9503705306141,NA,0.251926790381513,0.608560177015966
"cor17","bored",-11.0350481730007,1.38776454208918,0.442010315041339,-1.23067818085042,0.428400353083136,-0.0674362183616886,1.22736356198797,0.00377462725553309,1.52387824370892,1.07852930648041,9.22739412654201,-12.7851052320377,-12.8044953821254,NA,0.242972417433649,0.917948687278145
"cor18","broadsided",-12.0079106360883,0.314274612327793,0.451385772139678,-1.41829246664774,0.512943039892337,0.105142889680056,0.54965501219065,0.00563319901662877,1.67433992273508,1.02563446423914,5.44673737166631,-15.0609179999633,-14.8117009298109,NA,0.61584077794044,0.904356849466391
"cor19","dilated",-10.2584602441622,1.64458212612556,0.721380215336911,-2.55434554945601,0.494380390396486,-0.316230354077399,0.535701887541108,0.00316584213287582,1.43022552674941,1.01130964426074,6.67076632084587,-14.8163041898956,-14.5651699908537,NA,0.0367895742718945,0.928986403298318
